İsim,Adres,Telefon
Kebbap Kırkpınar / Kebap Kırkpınar Resturant Sapanca,Kebbap Kırkpınar / Kebap Kırkpınar Resturant Sapanca,Açık ⋅ Kapanış saati: 23:00
Kebapçı Mehmet Usta,Bilinmiyor,₺200–400
Balıkçı Asiye,Bilinmiyor,(601)
Maşşa Ocakbaşı,Bilinmiyor,₺1.000+
