İsim,Puan,Yorum Sayısı,Kategori,Adres,Çalışma Durumu
Mini Köşk Köfte,"4,3",11.168,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
Köfteci Yusuf,"4,1",19.389,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
Kartepe Manzara Restaurant,"4,3",3.468,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
Antikkapi Restaurant,"4,1",486,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
KUZİNE RESTAURANT,"4,0",817,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
Vadi Restaurant,"4,0",2.975,Bilinmiyor,Adres Bulunamadı,Bilinmiyor
