Restoran Adı,Adres,Telefon,Link
Mini Köşk Köfte,"Çayırköy, Yeni Kandıra Yolu, 41000 İzmit/Kocaeli",(0262) 367 41 92,https://www.google.com/maps/place/Mini+K%C3%B6%C5%9Fk+K%C3%B6fte/data=!4m7!3m6!1s0x14cb51c6950ade11:0xd9bec258e5fa254!8m2!3d40.7971493!4d29.9927932!16s%2Fg%2F1v0bvzks!19sChIJEd4KlcZRyxQRVKJfjiXsmw0?authuser=0&hl=tr&rclk=1
Antikkapi Restaurant,"Karabaş, 1. Cd. No:5, 41040 İzmit/Kocaeli",Telefon bulunamadı,https://www.google.com/maps/place/Antikkapi+Restaurant/data=!4m7!3m6!1s0x14cb457c6c8b7563:0x4d0c866f609f49b2!8m2!3d40.7586877!4d29.9337674!16s%2Fg%2F11fmz2hsmd!19sChIJY3WLbHxFyxQRskmfYG-GDE0?authuser=0&hl=tr&rclk=1
KUZİNE RESTAURANT,"Kabaoğlu, Prof. Baki Komşuoğlu Blv. No:191/A, 41100 İzmit/Kocaeli",(0262) 329 09 09,https://www.google.com/maps/place/KUZ%C4%B0NE+RESTAURANT/data=!4m7!3m6!1s0x14cb4fab04c8e4e9:0xb2df0751e327211!8m2!3d40.800107!4d29.9308942!16s%2Fg%2F11c2q2h6t8!19sChIJ6eTIBKtPyxQREXIyHnXwLQs?authuser=0&hl=tr&rclk=1
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",0539 678 41 61,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Çınar Lokantası,"Ömerağa, Şahabettin Bilgisu Cd. No:38, 41040 İzmit/Kocaeli",(0262) 321 96 94,https://www.google.com/maps/place/%C3%87%C4%B1nar+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb457f6f015c4b:0xf0ef2390272c5e3e!8m2!3d40.7621851!4d29.9295386!16s%2Fg%2F1tcx40_c!19sChIJS1wBb39FyxQRPl4sJ5Aj7_A?authuser=0&hl=tr&rclk=1
AliBaba Kocaeli,"Körfez, Liman Cd. No:54, 41245 Başiskele/Kocaeli",0537 501 03 49,https://www.google.com/maps/place/AliBaba+Kocaeli/data=!4m7!3m6!1s0x14cb45d7f93ed019:0x754c576a73ad8eff!8m2!3d40.7140887!4d29.9146421!16s%2Fg%2F11sj663lgg!19sChIJGdA--ddFyxQR_46tc2pXTHU?authuser=0&hl=tr&rclk=1
Köfteci Yusuf,"Ovacık, D100 No:18, 41140 Başiskele/Kocaeli",444 6 162,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m7!3m6!1s0x408703b02dc8c6cd:0x9195ea3dcd417229!8m2!3d40.7598112!4d29.9742297!16s%2Fg%2F11clwj6t6q!19sChIJzcbILbADh0ARKXJBzT3qlZE?authuser=0&hl=tr&rclk=1
