Restoran Adı,E-posta
Salash Burger Başiskele,Bulunamadı
Çınaraltı Künefe & Kahvaltı Başiskele,Bulunamadı
Yeşildağlar Et,Bulunamadı
Bilgiçler Et Köfte - Başiskele,Bulunamadı
Çakır Restaurant,Bulunamadı
