Restoran Adı,Adres,Telefon,Web Sitesi,E-posta
Salash Burger Başiskele,"Salash Burger, Barbaros, Pınar Cd. 1/ A, 41090 Başiskele/Kocaeli",0533 650 41 61,Bulunamadı,Bulunamadı
AliBaba Kocaeli,"Körfez, Liman Cd. No:54, 41245 Başiskele/Kocaeli",0537 501 03 49,Bulunamadı,Bulunamadı
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",(0262) 343 43 46,Bulunamadı,Bulunamadı
Bilgiçler Et Köfte - Başiskele,"Körfez mah. D-130 Karayolu cad. No: 119, 41245 Başiskele/Kocaeli",(0262) 343 36 36,Bulunamadı,Bulunamadı
Sinerit Restaurant,"Yuvacık Yakacık, Temel Ay Sk. No:15, 41090 Başiskele/Kocaeli",0552 541 64 25,Bulunamadı,Bulunamadı
