Restoran Adı,Adres,Telefon,Web Sitesi,E-posta,Link
Salash Burger Başiskele,"Salash Burger, Barbaros, Pınar Cd. 1/ A, 41090 Başiskele/Kocaeli",,http://www.salashburger.com/,No Email Found,https://www.google.com/maps/place/Salash+Burger+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45ea2e25e64d:0x77c2e880de12e718!8m2!3d40.710315!4d29.924449!16s%2Fg%2F11sgxvs86l!19sChIJTeYlLupFyxQRGOcS3oDownc?authuser=0&hl=tr&rclk=1
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",(0262) 343 43 46,http://www.yesildaglar.com/,No Email Found,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et/data=!4m7!3m6!1s0x14cb445e6d314589:0x2cec06428d195c5c!8m2!3d40.7133558!4d29.9225622!16s%2Fg%2F11b_3fwx0b!19sChIJiUUxbV5EyxQRXFwZjUIG7Cw?authuser=0&hl=tr&rclk=1
Sinerit Restaurant,"Yuvacık Yakacık, Temel Ay Sk. No:15, 41090 Başiskele/Kocaeli",0552 541 64 25,N/A,No Website,https://www.google.com/maps/place/Sinerit+Restaurant/data=!4m7!3m6!1s0x14cb45f895ebbbab:0x1252ba41ef4644d5!8m2!3d40.6840103!4d29.9565868!16s%2Fg%2F11c40pjprf!19sChIJq7vrlfhFyxQR1URG70G6UhI?authuser=0&hl=tr&rclk=1
Bilgiçler Et Köfte - Başiskele,"Körfez mah. D-130 Karayolu cad. No: 119, 41245 Başiskele/Kocaeli",(0262) 343 36 36,http://www.bilgiclerkofte.com/,Error Accessing Site,https://www.google.com/maps/place/Bilgi%C3%A7ler+Et+K%C3%B6fte+-+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb44695f96a585:0xfdb612eaa7487c8a!8m2!3d40.7119202!4d29.910578!16s%2Fg%2F11dyzc8f0t!19sChIJhaWWX2lEyxQRinxIp-oStv0?authuser=0&hl=tr&rclk=1
Mavi Kayalar Restoran,"Mahallesi, Servetiye Cami, Aşağı Alartı Mevkii 22/1, 41090 Başiskele/Kocaeli",(0262) 345 00 53,http://www.mavikayalar.com/,No Email Found,https://www.google.com/maps/place/Mavi+Kayalar+Restoran/data=!4m7!3m6!1s0x14cb431231f87ed5:0x53887c8111f3ab61!8m2!3d40.6337392!4d29.9506154!16s%2Fg%2F11h18dtjzh!19sChIJ1X74MRJDyxQRYavzEYF8iFM?authuser=0&hl=tr&rclk=1
